canonical_smiles,molecule_chembl_id,pref_name,max_phase,molecule_type,first_approval
C=CCN1CC[C@]23c4c5ccc(O)c4O[C@H]2C(=O)CC[C@@]3(O)[C@H]1C5,CHEMBL80,NALOXONE,4,Small molecule,1971
O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,CHEMBL81,RALOXIFENE,4,Small molecule,1997
CC/C(=C(\\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,CHEMBL83,TAMOXIFEN,4,Small molecule,1977
CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]c(Br)c(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,CHEMBL493,BROMOCRIPTINE,4,Small molecule,1978
CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O,CHEMBL494,ILOPROST,4,Small molecule,2003
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,CHEMBL84,TOPOTECAN,4,Small molecule,1996
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2,CHEMBL85,RISPERIDONE,4,Small molecule,1993
O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,CHEMBL428880,CROMOLYN,4,Small molecule,1982
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,CHEMBL86,METOCLOPRAMIDE,4,Small molecule,1979
CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O,CHEMBL428647,PACLITAXEL,4,Small molecule,1992
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,CHEMBL495,ALPROSTADIL,4,Small molecule,1981
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,CHEMBL496,HEXACHLOROPHENE,4,Small molecule,1949
Oc1c(I)cc(Cl)c2cccnc12,CHEMBL497,CLIOQUINOL,4,Small molecule,1934
COc1ccc2cccc(CCNC(C)=O)c2c1,CHEMBL10878,AGOMELATINE,4,Small molecule,2009
